localidade,periodo,valor_total
População residente estimada,Acre,15958919.0
População residente estimada,Alagoas,66818232.0
População residente estimada,Amapá,14787038.0
População residente estimada,Amazonas,77430049.0
População residente estimada,Bahia,304151168.0
População residente estimada,Ceará,181033868.0
População residente estimada,Distrito Federal,56547375.0
População residente estimada,Espírito Santo,77934558.0
População residente estimada,Goiás,132575512.0
População residente estimada,Maranhão,138660423.0
População residente estimada,Mato Grosso,66442286.0
População residente estimada,Mato Grosso do Sul,53141867.0
População residente estimada,Minas Gerais,424146033.0
População residente estimada,Paraná,227968912.0
População residente estimada,Paraíba,80667394.0
População residente estimada,Pará,163338066.0
População residente estimada,Pernambuco,188996096.0
População residente estimada,Piauí,66154183.0
População residente estimada,Rio Grande do Norte,68424755.0
População residente estimada,Rio Grande do Sul,231322440.0
